couple	bande	mod	date	annee	ini	restant	paras	pred	Tx_pred	Tx_para	session	code2	code3
6	BF	00m	21/7/17	2017	10	10	0	0	0	0	1	6BF00m	6BF
6	BF	05m	21/7/17	2017	10	9	0	1	0.1	0	1	6BF05m	6BF
6	BF	05m	21/7/17	2017	10	0	8	2	0.2	0.8	1	6BF05m	6BF
6	BF	05m	21/7/17	2017	10	9	0	1	0.1	0	1	6BF05m	6BF
6	BF	05m	21/7/17	2017	10	10	0	0	0	0	1	6BF05m	6BF
6	BF	20m	21/7/17	2017	10	10	0	0	0	0	1	6BF20m	6BF
6	BF	20m	21/7/17	2017	10	7	0	3	0.3	0	1	6BF20m	6BF
6	BF	20m	21/7/17	2017	10	10	0	0	0	0	1	6BF20m	6BF
6	BF	20m	21/7/17	2017	10	9	0	1	0.1	0	1	6BF20m	6BF
7	BE	00m	21/7/17	2017	10	8	0	2	0.2	0	1	7BE00m	7BE
7	BE	00m	21/7/17	2017	10	9	0	1	0.1	0	1	7BE00m	7BE
7	BE	00m	21/7/17	2017	10	8	0	2	0.2	0	1	7BE00m	7BE
7	BE	00m	21/7/17	2017	10	10	0	0	0	0	1	7BE00m	7BE
7	BE	05m	21/7/17	2017	10	7	0	3	0.3	0	1	7BE05m	7BE
7	BE	05m	21/7/17	2017	10	10	0	0	0	0	1	7BE05m	7BE
7	BE	05m	21/7/17	2017	10	1	0	9	0.9	0	1	7BE05m	7BE
7	BE	05m	21/7/17	2017	10	5	0	5	0.5	0	1	7BE05m	7BE
7	BE	20m	21/7/17	2017	10	0	0	10	1	0	1	7BE20m	7BE
7	BE	20m	21/7/17	2017	10	10	0	0	0	0	1	7BE20m	7BE
7	BE	20m	21/7/17	2017	10	10	0	0	0	0	1	7BE20m	7BE
7	BE	20m	21/7/17	2017	10	10	0	0	0	0	1	7BE20m	7BE
7	BF	00m	21/7/17	2017	10	5	0	5	0.5	0	1	7BF00m	7BF
7	BF	00m	21/7/17	2017	10	8	0	2	0.2	0	1	7BF00m	7BF
7	BF	00m	21/7/17	2017	10	8	0	2	0.2	0	1	7BF00m	7BF
7	BF	00m	21/7/17	2017	10	0	0	10	1	0	1	7BF00m	7BF
7	BF	05m	21/7/17	2017	10	8	0	2	0.2	0	1	7BF05m	7BF
7	BF	05m	21/7/17	2017	10	8	0	2	0.2	0	1	7BF05m	7BF
7	BF	05m	21/7/17	2017	10	7	0	3	0.3	0	1	7BF05m	7BF
7	BF	05m	21/7/17	2017	10	10	0	0	0	0	1	7BF05m	7BF
7	BF	20m	21/7/17	2017	10	0	0	10	1	0	1	7BF20m	7BF
7	BF	20m	21/7/17	2017	10	2	0	8	0.8	0	1	7BF20m	7BF
7	BF	20m	21/7/17	2017	10	1	0	9	0.9	0	1	7BF20m	7BF
