couple	bande	mod	date	session	ini	restant	predates	tx_pred	annee	code2	code3
6	BF	05m	13/7/17	1	10	5	5	0.5	2017	6BF05m	6BF
6	BF	05m	13/7/17	1	10	6	4	0.4	2017	6BF05m	6BF
6	BF	20m	13/7/17	1	10	8	2	0.2	2017	6BF20m	6BF
6	BF	20m	13/7/17	1	10	9	1	0.1	2017	6BF20m	6BF
6	BF	20m	13/7/17	1	10	7	3	0.3	2017	6BF20m	6BF
6	BF	20m	13/7/17	1	10	0	10	1	2017	6BF20m	6BF
7	BE	00m	13/7/17	1	10	9	1	0.1	2017	7BE00m	7BE
7	BE	00m	13/7/17	1	10	5	5	0.5	2017	7BE00m	7BE
7	BE	00m	13/7/17	1	10	9	1	0.1	2017	7BE00m	7BE
7	BE	00m	13/7/17	1	10	9	1	0.1	2017	7BE00m	7BE
7	BE	05m	13/7/17	1	10	10	0	0	2017	7BE05m	7BE
7	BE	05m	13/7/17	1	10	2	8	0.8	2017	7BE05m	7BE
7	BE	05m	13/7/17	1	10	8	2	0.2	2017	7BE05m	7BE
7	BE	05m	13/7/17	1	10	4	6	0.6	2017	7BE05m	7BE
7	BE	20m	13/7/17	1	10	9	1	0.1	2017	7BE20m	7BE
7	BE	20m	13/7/17	1	10	7	3	0.3	2017	7BE20m	7BE
7	BE	20m	13/7/17	1	10	8	2	0.2	2017	7BE20m	7BE
7	BE	20m	13/7/17	1	10	9	1	0.1	2017	7BE20m	7BE
7	BF	00m	13/7/17	1	10	9	1	0.1	2017	7BF00m	7BF
7	BF	00m	13/7/17	1	10	8	2	0.2	2017	7BF00m	7BF
7	BF	00m	13/7/17	1	10	8	2	0.2	2017	7BF00m	7BF
7	BF	00m	13/7/17	1	10	7	3	0.3	2017	7BF00m	7BF
7	BF	05m	13/7/17	1	10	10	0	0	2017	7BF05m	7BF
7	BF	05m	13/7/17	1	10	8	2	0.2	2017	7BF05m	7BF
7	BF	05m	13/7/17	1	10	7	3	0.3	2017	7BF05m	7BF
7	BF	05m	13/7/17	1	10	10	0	0	2017	7BF05m	7BF
7	BF	20m	13/7/17	1	10	10	0	0	2017	7BF20m	7BF
7	BF	20m	13/7/17	1	10	6	4	0.4	2017	7BF20m	7BF
7	BF	20m	13/7/17	1	10	9	1	0.1	2017	7BF20m	7BF
7	BF	20m	13/7/17	1	10	3	7	0.7	2017	7BF20m	7BF
8	BE	00m	11/7/17	1	10	8	2	0.2	2017	8BE00m	8BE
8	BE	00m	11/7/17	1	10	4	6	0.6	2017	8BE00m	8BE
8	BE	00m	11/7/17	1	10	0	10	1	2017	8BE00m	8BE
8	BE	00m	11/7/17	1	10	0	10	1	2017	8BE00m	8BE
8	BE	05m	11/7/17	1	10	0	10	1	2017	8BE05m	8BE
8	BE	05m	11/7/17	1	10	0	10	1	2017	8BE05m	8BE
8	BE	05m	11/7/17	1	10	0	10	1	2017	8BE05m	8BE
8	BE	05m	11/7/17	1	10	7	3	0.3	2017	8BE05m	8BE
8	BE	20m	11/7/17	1	10	5	5	0.5	2017	8BE20m	8BE
8	BE	20m	11/7/17	1	10	0	10	1	2017	8BE20m	8BE
8	BE	20m	11/7/17	1	10	0	10	1	2017	8BE20m	8BE
8	BE	20m	11/7/17	1	10	0	10	1	2017	8BE20m	8BE
8	BF	00m	11/7/17	1	10	0	10	1	2017	8BF00m	8BF
8	BF	00m	11/7/17	1	10	0	10	1	2017	8BF00m	8BF
8	BF	00m	11/7/17	1	10	0	10	1	2017	8BF00m	8BF
8	BF	00m	11/7/17	1	10	0	10	1	2017	8BF00m	8BF
8	BF	05m	11/7/17	1	10	0	10	1	2017	8BF05m	8BF
8	BF	05m	11/7/17	1	10	7	3	0.3	2017	8BF05m	8BF
8	BF	05m	11/7/17	1	10	0	10	1	2017	8BF05m	8BF
8	BF	05m	11/7/17	1	10	0	10	1	2017	8BF05m	8BF
8	BF	20m	11/7/17	1	10	0	10	1	2017	8BF20m	8BF
8	BF	20m	11/7/17	1	10	0	10	1	2017	8BF20m	8BF
8	BF	20m	11/7/17	1	10	0	10	1	2017	8BF20m	8BF
8	BF	20m	11/7/17	1	10	0	10	1	2017	8BF20m	8BF
2	BE	00m	22/8/17	2	10	10	0	0	2017	2BE00m	2BE
2	BE	00m	22/8/17	2	10	9	1	0.1	2017	2BE00m	2BE
2	BE	00m	22/8/17	2	10	8	2	0.2	2017	2BE00m	2BE
2	BE	00m	22/8/17	2	10	10	0	0	2017	2BE00m	2BE
2	BE	05m	22/8/17	2	10	4	6	0.6	2017	2BE05m	2BE
2	BE	05m	22/8/17	2	10	6	4	0.4	2017	2BE05m	2BE
