"","Site","Treatment","Guild","Distance","session","TaxaR","GenusR"
"303","11","High Div","Vine",30,"3",6,4
"304","11","Low Div","Soil",0,"1",8,6
"305","11","Low Div","Soil",0,"2",15,10
"306","11","Low Div","Soil",0,"3",2,2
"307","11","Low Div","Soil",15,"1",8,6
"308","11","Low Div","Soil",15,"2",9,6
"309","11","Low Div","Soil",15,"3",9,7
"310","11","Low Div","Soil",30,"1",5,3
"311","11","Low Div","Soil",30,"2",9,6
"312","11","Low Div","Soil",30,"3",1,1
"313","11","Low Div","Vegetation",0,"1",1,1
"314","11","Low Div","Vegetation",0,"2",8,6
"315","11","Low Div","Vegetation",0,"3",5,4
"316","11","Low Div","Vine",0,"1",3,3
"317","11","Low Div","Vine",0,"2",5,3
"318","11","Low Div","Vine",0,"3",2,2
"319","11","Low Div","Vine",15,"1",3,3
"320","11","Low Div","Vine",15,"2",7,4
"321","11","Low Div","Vine",15,"3",3,3
"322","11","Low Div","Vine",30,"1",2,2
"323","11","Low Div","Vine",30,"2",2,NA
"324","11","Low Div","Vine",30,"3",3,3
"325","12","High Div","Soil",0,"1",10,7
"326","12","High Div","Soil",0,"2",20,12
"327","12","High Div","Soil",0,"3",11,7
"328","12","High Div","Soil",15,"1",12,9
"329","12","High Div","Soil",15,"2",13,7
"330","12","High Div","Soil",15,"3",9,8
"331","12","High Div","Soil",30,"1",15,12
"332","12","High Div","Soil",30,"2",14,8
"333","12","High Div","Soil",30,"3",10,8
"334","12","High Div","Vegetation",0,"1",2,2
"335","12","High Div","Vegetation",0,"2",3,3
"336","12","High Div","Vegetation",0,"3",11,7
"337","12","High Div","Vine",0,"1",3,3
"338","12","High Div","Vine",0,"2",4,2
"339","12","High Div","Vine",0,"3",5,5
"340","12","High Div","Vine",15,"1",5,4
"341","12","High Div","Vine",15,"2",11,8
"342","12","High Div","Vine",15,"3",9,5
"343","12","High Div","Vine",30,"1",3,3
"344","12","High Div","Vine",30,"2",6,4
"345","12","High Div","Vine",30,"3",3,3
"346","12","Low Div","Soil",0,"1",4,3
"347","12","Low Div","Soil",0,"2",15,8
"348","12","Low Div","Soil",0,"3",10,7
"349","12","Low Div","Soil",15,"1",5,4
"350","12","Low Div","Soil",15,"2",5,5
"351","12","Low Div","Soil",15,"3",9,5
"352","12","Low Div","Soil",30,"1",11,9
"353","12","Low Div","Soil",30,"2",7,3
"354","12","Low Div","Soil",30,"3",8,5
"355","12","Low Div","Vegetation",0,"1",1,1
"356","12","Low Div","Vegetation",0,"2",6,5
"357","12","Low Div","Vegetation",0,"3",4,4
"358","12","Low Div","Vine",0,"1",8,5
"359","12","Low Div","Vine",0,"2",10,7
"360","12","Low Div","Vine",0,"3",5,5
"361","12","Low Div","Vine",15,"1",9,8
"362","12","Low Div","Vine",15,"2",17,11
"363","12","Low Div","Vine",15,"3",6,5
"364","12","Low Div","Vine",30,"1",5,4
"365","12","Low Div","Vine",30,"2",8,5
"366","12","Low Div","Vine",30,"3",5,4
